date,nav,daily_ret
2023-04-11,0.8201,-0.6180319922443056
2023-04-12,0.8186,-0.18290452383856737
2023-04-13,0.8148,-0.46420718299535757
2023-04-14,0.8206,0.7118311242022557
2023-04-17,0.8219,0.15842066780404895
2023-04-18,0.8209,-0.12166930283489252
2023-04-19,0.8126,-1.0110853940796694
2023-04-20,0.8077,-0.6030027073591016
2023-04-21,0.8024,-0.6561842268168805
2023-04-24,0.7932,-1.1465603190428664
2023-04-25,0.7805,-1.6011094301563333
2023-04-26,0.7903,1.255605381165914
2023-04-27,0.8053,1.898013412628119
2023-04-28,0.8043,-0.12417732522042035
2023-05-04,0.7984,-0.7335571304239785
2023-05-05,0.7903,-1.0145290581162314
2023-05-08,0.8088,2.3408832089079956
2023-05-09,0.7939,-1.8422354104846606
2023-05-10,0.7858,-1.0202796321954866
2023-05-11,0.7794,-0.8144566047340374
2023-05-12,0.7695,-1.2702078521939941
2023-05-15,0.788,2.4041585445094382
2023-05-16,0.7833,-0.5964467005076135
2023-05-17,0.7986,1.953274607430111
2023-05-18,0.7957,-0.3631354871024284
2023-05-19,0.8014,0.7163503833103047
2023-05-22,0.7985,-0.3618667332168757
2023-05-23,0.7875,-1.3775829680651275
2023-05-24,0.7839,-0.45714285714284486
2023-05-25,0.7888,0.6250797295573207
2023-05-26,0.787,-0.22819472616631975
2023-05-29,0.7918,0.6099110546378572
2023-05-30,0.7866,-0.6567314978529915
2023-05-31,0.7866,0.0
2023-06-01,0.7862,-0.05085176709890282
2023-06-02,0.7833,-0.36886288476214446
2023-06-05,0.7723,-1.404315077237328
2023-06-06,0.7535,-2.4342871940955635
2023-06-07,0.7504,-0.41141340411413596
2023-06-08,0.7483,-0.2798507462686506
2023-06-09,0.7555,0.9621809434718687
2023-06-12,0.7461,-1.2442091330244875
2023-06-13,0.7472,0.1474333199303013
2023-06-14,0.7457,-0.20074946466808186
2023-06-15,0.756,1.381252514415987
2023-06-16,0.7654,1.2433862433862464
2023-06-19,0.7664,0.13065064018813466
2023-06-20,0.7895,3.014091858037582
2023-06-21,0.7763,-1.6719442685243835
2023-06-26,0.7683,-1.030529434496974
2023-06-27,0.776,1.0022126773395756
2023-06-28,0.7814,0.6958762886597913
2023-06-29,0.7898,1.0749936012285577
2023-06-30,0.8098,2.532286654849325
2023-07-03,0.8159,0.7532724129414747
2023-07-04,0.8189,0.36769211913225686
2023-07-05,0.8142,-0.5739406520942625
2023-07-06,0.8053,-1.0930975190370895
2023-07-07,0.7969,-1.0430895318514821
2023-07-10,0.8011,0.5270422888693727
2023-07-11,0.8067,0.699038821620257
2023-07-12,0.7951,-1.4379571092103527
2023-07-13,0.7999,0.603697648094581
2023-07-14,0.7993,-0.07500937617203052
